State,Value
  11 11 1   ,-1.562486984
  11 11 1  1,1.594723141
  11 11 1 1 ,0
  11 11 1 11,-1.766649687
  11 11 11  ,1.594723141
  11 11 11 1,-2.581155937
  11 11 111 ,-1.766649687
  11 11 1111,-0.09036875
  11 111    ,-0.779895093
  11 111   1,0.820942203
  11 111  1 ,0.775817203
  11 111  11,-1.766649687
  11 111 1  ,-0.081557797
  11 111 1 1,-1.766649687
  11 111 11 ,-1.678655937
  11 111 111,-0.09036875
  11 1111   ,0
  11 1111  1,-0.864149687
  11 1111 1 ,-1.723780938
  11 1111 11,-0.99286875
  11 11111  ,-0.864149687
  11 11111 1,0.90963125
  11 111111 ,0.76700625
  11 1111111,0.095125
111,-0.773780937
  111      1,-0.034916865
  111     1 ,-0.034916865
  111     11,0.036754595
  111    1  ,-0.034916865
  111    1 1,-0.737026343
  111    11 ,-0.006114155
  111    111,-0.081557797
  111   1   ,-0.034916865
  111   1  1,-0.820620405
  111   1 1 ,-0.741206046
  111   1 11,-0.081557797
  111   11  ,0.036754595
  111   11 1,-0.129057797
  111   111 ,-0.081557797
  111   1111,-0.728655937
  111  1    ,-0.034916865
  111  1   1,-0.741206046
  111  1  1 ,-0.820620405
  111  1  11,-0.081557797
  111  1 1  ,-0.006114155
  111  1 1 1,-0.081557797
  111  1 11 ,-0.122283109
  111  1 111,0.040725313
  111  11   ,-0.737026343
  111  11  1,0.775817203
  111  11 1 ,-0.038689047
  111  11 11,-0.909274688
  111  111  ,-0.038689047
  111  111 1,-0.816649687
  111  1111 ,0.040725313
  111  11111,-0.99286875
  111 1     ,0.828894088
  111 1    1,-0.956114155
  111 1   1 ,-0.872520093
  111 1   11,-0.081557797
  111 1  1  ,-1.687026343
  111 1  1 1,-0.081557797
  111 1  11 ,-0.081557797
  111 1  111,0.085850313
  111 1 1   ,-0.95
  111 1 1  1,-0.038689047
  111 1 1 1 ,0.687591891
  111 1 1 11,-0.816649687
  111 1 11  ,-0.081557797
  111 1 11 1,-1.766649687
  111 1 111 ,-0.95
